,Edición,Actor,Actriz,Actor de reparto,Actriz de reparto,Actor revelación,Actriz revelación,"Goya de honor
Goya Internacional"
27,XXVIII - 2013,Javier Cámara (1)(Vivir es fácil con los ojos cerrados),Marian Álvarez(La herida),Roberto Álamo (1)(La gran familia española),Terele Pávez(Las brujas de Zugarramurdi),Javier Pereira(Stockholm),Natalia de Molina (1)(Vivir es fácil con los ojos cerrados),Jaime de Armiñán
28,XXIX - 2014,Javier Gutiérrez (1)(La isla mínima),Bárbara Lennie(Magical Girl),Karra Elejalde (2)(Ocho apellidos vascos),Carmen Machi(Ocho apellidos vascos),Dani Rovira(Ocho apellidos vascos),Nerea Barros(La isla mínima),Antonio Banderas (1)
29,XXX - 2015,Ricardo Darín(Truman),Natalia de Molina (2)(Techo y comida),Javier Cámara (2)(Truman),Luisa Gavasa(La novia),Miguel Herrán(A cambio de nada),Irene Escolar(Un otoño sin Berlín),Mariano Ozores
30,XXXI - 2016,Roberto Álamo (2)(Que Dios nos perdone),Emma Suárez (2)(Julieta),Manolo Solo(Tarde para la ira),Emma Suárez (3)(La próxima piel),Carlos Santos(El hombre de las mil caras),Anna Castillo(El olivo),Ana Belén
31,XXXII - 2017,Javier Gutiérrez (2)(El autor),Nathalie Poza (1)(No sé decir adiós),David Verdaguer (1)(Verano 1993),Adelfa Calvo(El autor),Eneko Sagardoy(Handia),Bruna Cusí(Verano 1993),Marisa Paredes
32,XXXIII - 2018,Antonio de la Torre (2)(El reino),Susi Sánchez (1)(La enfermedad del domingo),Luis Zahera (1)(El reino),Carolina Yuste(Carmen y Lola),Jesús Vidal(Campeones),Eva Llorach(Quién te cantará),"Narciso ""Chicho"" Ibáñez Serrador"
33,XXXIV - 2019,Antonio Banderas (2)(Dolor y gloria),Belén Cuesta(La trinchera infinita),Eduard Fernández (3)(Mientras dure la guerra),Julieta Serrano(Dolor y gloria),Enric Auquer(Quien a hierro mata),Benedicta Sánchez(Lo que arde),Marisol
34,XXXV - 2020,Mario Casas(No matarás),Patricia López Arnaiz(Ane),Alberto San Juan (2)(Sentimental),Nathalie Poza (2)(La boda de Rosa),Adam Nourou(Adú),Jone Laspiur(Ane),Ángela Molina
35,XXXVI - 2021,Javier Bardem (6)(El buen patrón),Blanca Portillo(Maixabel),Urko Olazabal(Maixabel),Nora Navas (2)(Libertad),Chechu Salgado(Las leyes de la frontera),María Cerezuela(Maixabel),José Sacristán (2)Cate Blanchett
36,XXXVII - 2022,Denis Ménochet(As bestas),Laia Costa(Cinco lobitos),Luis Zahera (2)(As bestas),Susi Sánchez (2)(Cinco lobitos),Telmo Irureta(La consagración de la primavera),Laura Galán(Cerdita),Carlos SauraJuliette Binoche
37,XXXVIII - 2023,David Verdaguer (2)(Saben aquell),Malena Alterio(Que nadie duerma),José Coronado(Cerrar los ojos),Ane Gabarain(20.000 especies de abejas),Matías Recalt(La sociedad de la nieve),Janet Novás(O corno),Juan Mariné BrugueraSigourney Weaver
